Store,Dept,Date,Weekly_Sales,IsHoliday
1,1,2/5/10,24924.5,FALSE
1,1,2/12/10,46039.49,TRUE
1,1,2/19/10,41595.55,FALSE
1,1,2/26/10,19403.54,FALSE
1,1,3/5/10,21827.9,FALSE
1,1,3/12/10,21043.39,FALSE
1,1,3/19/10,22136.64,FALSE
1,1,3/26/10,26229.21,FALSE
1,1,4/2/10,57258.43,FALSE
1,1,4/9/10,42960.91,FALSE
1,1,4/16/10,17596.96,FALSE
1,1,4/23/10,16145.35,FALSE
1,1,4/30/10,16555.11,FALSE
1,1,5/7/10,17413.94,FALSE
1,1,5/14/10,18926.74,FALSE
1,1,5/21/10,14773.04,FALSE
1,1,5/28/10,15580.43,FALSE
1,1,6/4/10,17558.09,FALSE
1,1,6/11/10,16637.62,FALSE
1,1,6/18/10,16216.27,FALSE
1,1,6/25/10,16328.72,FALSE
1,1,7/2/10,16333.14,FALSE
1,1,7/9/10,17688.76,FALSE
1,1,7/16/10,17150.84,FALSE
1,1,7/23/10,15360.45,FALSE
1,1,7/30/10,15381.82,FALSE
1,1,8/6/10,17508.41,FALSE
1,1,8/13/10,15536.4,FALSE
1,1,8/20/10,15740.13,FALSE
1,1,8/27/10,15793.87,FALSE
1,1,9/3/10,16241.78,FALSE
1,1,9/10/10,18194.74,TRUE
1,1,9/17/10,19354.23,FALSE
1,1,9/24/10,18122.52,FALSE
1,1,10/1/10,20094.19,FALSE
1,1,10/8/10,23388.03,FALSE
1,1,10/15/10,26978.34,FALSE
1,1,10/22/10,25543.04,FALSE
1,1,10/29/10,38640.93,FALSE
1,1,11/5/10,34238.88,FALSE
1,1,11/12/10,19549.39,FALSE
1,1,11/19/10,19552.84,FALSE
1,1,11/26/10,18820.29,TRUE
1,1,12/3/10,22517.56,FALSE
1,1,12/10/10,31497.65,FALSE
1,1,12/17/10,44912.86,FALSE
1,1,12/24/10,55931.23,FALSE
1,1,12/31/10,19124.58,TRUE
1,1,1/7/11,15984.24,FALSE
1,1,1/14/11,17359.7,FALSE
1,1,1/21/11,17341.47,FALSE
1,1,1/28/11,18461.18,FALSE
1,1,2/4/11,21665.76,FALSE
1,1,2/11/11,37887.17,TRUE
1,1,2/18/11,46845.87,FALSE
1,1,2/25/11,19363.83,FALSE
1,1,3/4/11,20327.61,FALSE
1,1,3/11/11,21280.4,FALSE
1,1,3/18/11,20334.23,FALSE
1,1,3/25/11,20881.1,FALSE
1,1,4/1/11,20398.09,FALSE
1,1,4/8/11,23873.79,FALSE
1,1,4/15/11,28762.37,FALSE
1,1,4/22/11,50510.31,FALSE
1,1,4/29/11,41512.39,FALSE
1,1,5/6/11,20138.19,FALSE
1,1,5/13/11,17235.15,FALSE
1,1,5/20/11,15136.78,FALSE
1,1,5/27/11,15741.6,FALSE
1,1,6/3/11,16434.15,FALSE
1,1,6/10/11,15883.52,FALSE
1,1,6/17/11,14978.09,FALSE
1,1,6/24/11,15682.81,FALSE
1,1,7/1/11,15363.5,FALSE
1,1,7/8/11,16148.87,FALSE
1,1,7/15/11,15654.85,FALSE
1,1,7/22/11,15766.6,FALSE
1,1,7/29/11,15922.41,FALSE
1,1,8/5/11,15295.55,FALSE
1,1,8/12/11,14539.79,FALSE
1,1,8/19/11,14689.24,FALSE
1,1,8/26/11,14537.37,FALSE
1,1,9/2/11,15277.27,FALSE
1,1,9/9/11,17746.68,TRUE
1,1,9/16/11,18535.48,FALSE
1,1,9/23/11,17859.3,FALSE
1,1,9/30/11,18337.68,FALSE
1,1,10/7/11,20797.58,FALSE
1,1,10/14/11,23077.55,FALSE
1,1,10/21/11,23351.8,FALSE
1,1,10/28/11,31579.9,FALSE
1,1,11/4/11,39886.06,FALSE
1,1,11/11/11,18689.54,FALSE
1,1,11/18/11,19050.66,FALSE
1,1,11/25/11,20911.25,TRUE
1,1,12/2/11,25293.49,FALSE
1,1,12/9/11,33305.92,FALSE
1,1,12/16/11,45773.03,FALSE
1,1,12/23/11,46788.75,FALSE
1,1,12/30/11,23350.88,TRUE